cell,si_shortage_mult,si_surplus_mult,vol_water_value_mult,dfl_profit_mean,dfl_profit_std,dfl_si,dfl_vol,dfl_time,dfl_n,miqp_profit_mean,miqp_profit_std,miqp_si,miqp_vol,gap_pct
baseline,-2.0,-0.5,1.0,3868.6652631578954,1539.2390033222707,-27.81263157894737,176.80315789473684,1.1805263157894736,19,3793.0979582134046,1544.2998934618788,-9.614416323210063,148.6227882786801,1.992231832053266
si_symmetric,-1.0,-1.0,1.0,3894.059473684211,1564.6979732114214,-51.29894736842105,177.51894736842104,1.1821052631578948,19,3802.7123766447367,1568.8963592566947,-19.228832646420127,148.6227882786801,2.402156355566204
si_mild,-1.5,-0.75,1.0,3879.6273684210523,1558.0862311532558,-38.51947368421052,179.6121052631579,1.1899999999999997,19,3797.9052156147204,1556.3814301975917,-14.421624760878714,148.6227882786801,2.1517691508028998
vol_low,-2.0,-0.5,0.8,3902.420526315789,1550.3830322051735,-25.01894736842105,152.47947368421055,1.211578947368421,19,3822.822509765625,1550.34653485235,-9.614416323210063,118.89823190789474,2.0821792365935474
vol_high,-2.0,-0.5,1.2,3833.744736842105,1526.906818252612,-30.07263157894737,227.09052631578948,1.174736842105263,19,3763.373355263158,1539.03754448724,-9.614416323210063,178.34735508968956,1.869901679580398
