date,hour,power,head,volume,flow,price
2024-04-09,0,2.989428758621216,75.74198913574219,328292.09375,4.934328079223633,48.59
2024-04-09,1,3.4798998832702637,74.29094696044922,349208.15625,5.810014724731445,38.15
2024-04-09,2,4.169362545013428,72.43182373046875,375358.3125,7.263933181762695,38.54
2024-04-09,3,3.6612019538879395,70.74773406982422,398334.71875,6.382333755493164,41.84
2024-04-09,4,4.8530592918396,68.22677612304688,431182.78125,9.124460220336914,41.1
2024-04-09,5,4.7337236404418945,65.53099060058594,463771.25,9.052350997924805,58.65
2024-04-09,6,4.111429691314697,62.99278259277344,491655.3125,7.745569229125977,63.05
2024-04-09,7,3.3266026973724365,60.75172805786133,513903.125,6.179948806762695,46.47
2024-04-09,8,3.329543113708496,58.219093322753906,536463.3125,6.266714096069336,32.52
2024-04-09,9,-4.056056022644043,61.58047103881836,505933.46875,-8.480513572692871,27.12
2024-04-09,10,-3.9312450885772705,64.23148345947266,478402.0,-7.647627830505371,17.48
2024-04-09,11,-4.814396381378174,67.13621520996094,444712.03125,-9.358321189880371,4.08
2024-04-09,12,-4.565232753753662,69.50850677490234,414737.0,-8.326399803161621,4.28
2024-04-09,13,-5.530995845794678,72.14797973632812,379281.3125,-9.848799705505371,19.69
2024-04-09,14,-5.290371417999268,74.44719696044922,346976.5,-8.973555564880371,13.22
2024-04-09,15,-5.629136562347412,76.71928405761719,313967.25,-9.169234275817871,22.92
2024-04-09,16,5.975027084350586,73.98072052001953,353624.0,11.015764236450195,41.91
2024-04-09,17,4.1560750007629395,72.11209869384766,379775.96875,7.264436721801758,57.73
2024-04-09,18,4.061583518981934,70.18986511230469,405775.8125,7.222177505493164,53.42
2024-04-09,19,4.353598594665527,67.95470428466797,434599.65625,8.006624221801758,48.34
2024-04-09,20,3.715850353240967,65.94593811035156,458946.53125,6.763017654418945,40.43
2024-04-09,21,0.0,65.94593811035156,458946.53125,0.0,25.0
2024-04-09,22,0.0,65.94593811035156,458946.53125,0.0,25.84
2024-04-09,23,-4.875275135040283,68.64889526367188,425828.96875,-9.199324607849121,6.65
2024-07-09,0,0.0,76.95196533203125,310528.5,0.0,53.14
2024-07-09,1,-5.153296947479248,78.86258697509766,281871.15625,-7.960371971130371,41.26
2024-07-09,2,-6.2637152671813965,81.04408264160156,248172.40625,-9.360762596130371,38.7
2024-07-09,3,-7.035938262939453,83.28993225097656,212305.40625,-9.963057518005371,49.9
2024-07-09,4,0.0,83.28993225097656,212305.40625,0.0,58.21
