,Processing_Time_Seconds,MIP_Gap,Binary_Variables,Continuous_Variables,Total_Constraints,Expected_Profit,SI_Penalty,Volume_Penalty,Operating_Cost,Ex_post_Profit,Num_Layers,Max_Iterations,Distance_Metric
count,94.0,56.0,56.0,56.0,56.0,94.0,94.0,94.0,94.0,94.0,38.0,38.0,38.0
mean,875.0584950607378,0.29043952789914096,984.0,3920.5714285714284,4817.0,3649.046648067455,90.30962681671092,300.7647322390942,468.0033549239787,3212.3968045628326,2.0,9.0,59.599999999999994
std,1502.1752838586078,0.4843946940175929,1284.1967563776623,2758.2575188440505,6497.51098638408,1560.3410836557573,144.18667390472,476.0118842233603,406.5666071969098,1480.944583121871,0.0,0.0,22.55790123455877
min,0.0522651672363281,0.0,72.0,120.0,98.0,710.9199079975953,-48.477630615234375,0.0,110.76302337646484,579.3814697265625,2.0,9.0,25.15
25%,1.13,0.0,72.0,120.0,98.0,2572.8627330067675,13.507788181304932,0.0,238.85312713623048,1837.6442358398438,2.0,9.0,44.5625
50%,1.185,0.0096034729759869,72.0,5592.0,314.0,3543.7270790232405,60.74835098266601,0.0,330.66033935546875,3121.7,2.0,9.0,54.41
75%,1020.0527713894844,0.44060140746705007,2760.0,6168.0,13802.0,4361.564213562633,96.88615463256835,447.6992111206055,414.235,4183.035,2.0,9.0,72.43
max,3619.854658126831,1.5964291373667987,2760.0,6168.0,13802.0,8793.84,882.8294677734375,1794.8,1904.5211181640625,7113.0341796875,2.0,9.0,106.57
