hour,p_T,p_P,p_total,q,h,v_low,price,solution_time,mode,p_sim,q_sim,h_sim,v_low_sim,mode_sim,date,solution_time_seconds,opt_objective,sim_profit,si_penalty,vol_penalty,op_cost
0,6.430645378151261,0.0,6.430645378151261,11.991455955864254,77.0,310351.0483917608,122.9000015258789,301.4822573661804,Turbine,6.3481526,11.832603,74.01579284667969,310528.5,Turbine,2024-12-13,301.4822573661804,6880.729592956682,2188.233642578125,2630.869384765625,829.9911499023438,1203.6165771484375
1,0.0,0.0,0.0,0.0,77.0,310351.04839176196,118.97000122070312,301.4822573661804,Idle,0.0,0.0,74.01579284667969,353125.88,Idle,2024-12-13,301.4822573661804,6880.729592956682,2188.233642578125,2630.869384765625,829.9911499023438,1203.6165771484375
2,0.0,-5.371702320799611,-5.371702320799611,-8.145949113659128,78.94091830515194,281025.6315825891,114.94999694824219,301.4822573661804,Pump,-5.371702,-8.045158,76.0250015258789,353125.88,Pump,2024-12-13,301.4822573661804,6880.729592956682,2188.233642578125,2630.869384765625,829.9911499023438,1203.6165771484375
3,0.0,0.0,0.0,0.0,78.94091830515191,281025.6315825891,115.63999938964844,301.4822573661804,Idle,0.0,0.0,76.0250015258789,324163.3,Idle,2024-12-13,301.4822573661804,6880.729592956682,2188.233642578125,2630.869384765625,829.9911499023438,1203.6165771484375
4,0.0,0.0,0.0,0.0,78.94091830515192,281025.6315825891,123.13999938964844,301.4822573661804,Idle,0.0,0.0,76.0250015258789,324163.3,Idle,2024-12-13,301.4822573661804,6880.729592956682,2188.233642578125,2630.869384765625,829.9911499023438,1203.6165771484375
5,0.0,0.0,0.0,0.0,78.94091830515192,281025.6315825891,143.9499969482422,301.4822573661804,Idle,0.0,0.0,76.0250015258789,324163.3,Idle,2024-12-13,301.4822573661804,6880.729592956682,2188.233642578125,2630.869384765625,829.9911499023438,1203.6165771484375
6,3.068134342616219,0.0,3.068134342616219,4.9458378831612535,77.76248382835836,298830.6479619696,186.39999389648438,301.4822573661804,Turbine,3.0681343,4.926735,74.80134582519531,324163.3,Turbine,2024-12-13,301.4822573661804,6880.729592956682,2188.233642578125,2630.869384765625,829.9911499023438,1203.6165771484375
7,4.839470811286975,0.0,4.839470811286975,8.632095901147144,75.70280878150548,329906.1932060993,253.0,301.4822573661804,Turbine,4.839471,8.568317,72.6200942993164,341899.56,Turbine,2024-12-13,301.4822573661804,6880.729592956682,2188.233642578125,2630.869384765625,829.9911499023438,1203.6165771484375
8,5.035040163412162,0.0,5.035040163412162,9.309659726992344,73.35203729864536,363420.9682232718,245.74000549316406,301.4822573661804,Turbine,5.0350404,9.307064,70.15400695800781,372745.5,Turbine,2024-12-13,301.4822573661804,6880.729592956682,2188.233642578125,2630.869384765625,829.9911499023438,1203.6165771484375
9,3.850466104112934,0.0,3.850466104112934,6.791819136941335,71.61261801396851,387871.5171162606,208.4199981689453,301.4822573661804,Turbine,3.850466,6.8139915,68.25860595703125,406250.94,Turbine,2024-12-13,301.4822573661804,6880.729592956682,2188.233642578125,2630.869384765625,829.9911499023438,1203.6165771484375
10,2.8801459071896125,0.0,2.8801459071896125,5.026185147866521,70.19590500584432,405965.7836485801,174.10000610351562,301.4822573661804,Turbine,2.8801458,5.057556,66.78360748291016,430781.3,Turbine,2024-12-13,301.4822573661804,6880.729592956682,2188.233642578125,2630.869384765625,829.9911499023438,1203.6165771484375
11,0.0,0.0,0.0,0.0,70.19590500584431,405965.7836485802,165.83999633789062,301.4822573661804,Idle,0.0,0.0,66.78360748291016,448988.5,Idle,2024-12-13,301.4822573661804,6880.729592956682,2188.233642578125,2630.869384765625,829.9911499023438,1203.6165771484375
12,0.0,0.0,0.0,0.0,70.1959050058443,405965.78364857996,165.0,301.4822573661804,Idle,0.0,0.0,66.78360748291016,448988.5,Idle,2024-12-13,301.4822573661804,6880.729592956682,2188.233642578125,2630.869384765625,829.9911499023438,1203.6165771484375
13,2.792638805353789,0.0,2.792638805353789,4.919797188158718,68.80917919516538,423677.05352595146,184.5,301.4822573661804,Turbine,2.7926388,4.964241,65.26200103759766,448988.5,Turbine,2024-12-13,301.4822573661804,6880.729592956682,2188.233642578125,2630.869384765625,829.9911499023438,1203.6165771484375
14,4.067911530003931,0.0,4.067911530003931,7.523202555790906,66.68864073309412,450760.5827267985,214.74000549316406,301.4822573661804,Turbine,4.0679116,7.586376,62.750205993652344,466859.78,Turbine,2024-12-13,301.4822573661804,6880.729592956682,2188.233642578125,2630.869384765625,829.9911499023438,1203.6165771484375
15,4.122869366840869,0.0,4.122869366840869,7.780174738410089,64.1298848653496,478769.2117850748,245.42999267578125,301.4822573661804,Turbine,4.1228695,7.833412,59.835472106933594,494170.75,Turbine,2024-12-13,301.4822573661804,6880.729592956682,2188.233642578125,2630.869384765625,829.9911499023438,1203.6165771484375
