market price
-6.77
-7.01
-7.32
-7.63
-7.95
-8.26
-8.19
4.27
4.11
4.43
4.23
4.01
3.78
3.55
3.37
3.3
3.23
4.17
4.8
4.55
3.91
3.66
2.64
2.57
