Time,Power,Head,Flow,Volume,Price,Date
0,-7.071434936734002,79.4164519409367,-10.28952655031306,273486.204418873,1.09,2023-09-25
1,-7.387440102202651,81.71183354211679,-10.31275724765555,236360.27832731305,0.0,2023-09-25
2,-7.704158713547253,84.01239743375181,-10.336040393003103,199150.53291250186,0.49,2023-09-25
3,-6.263002744764817,85.8586662894678,-8.294970436774847,169288.63934011242,43.31,2023-09-25
4,0.0,85.8586662894678,0.0,169288.63934011242,86.87,2023-09-25
5,3.889650178530153,84.62351162060659,5.549338836176702,189266.25915034855,139.15,2023-09-25
6,4.88929206246773,83.00808480011044,7.2578366240122065,215394.4709967925,143.0,2023-09-25
7,3.2781352292525607,81.91697958052903,4.902149278973063,233042.2084010955,118.32,2023-09-25
8,0.0,81.91697958052903,0.0,233042.2084010955,99.68,2023-09-25
9,1.9415580254644738e-12,81.91697958052903,0.0,233042.2084010955,89.01,2023-09-25
10,0.0,81.91697958052985,-3.709033080667723e-12,233042.20840108214,89.71,2023-09-25
11,0.0,81.91697958052985,0.0,233042.20840108214,76.11,2023-09-25
12,0.0,81.91697958052985,0.0,233042.20840108214,84.09,2023-09-25
13,0.0,81.91697958052985,0.0,233042.20840108214,92.06,2023-09-25
14,1.9415580254644738e-12,81.91697958052985,0.0,233042.20840108214,97.46,2023-09-25
15,0.0,81.91697958052985,0.0,233042.20840108214,109.19,2023-09-25
16,5.3761272065133205,79.90340185088155,9.046660613848474,265610.18661093665,183.01,2023-09-25
17,6.35824046550646,77.02331219850956,11.670782700175138,307625.00433156715,300.0,2023-09-25
18,6.010817191908571,74.16706768452485,11.307604288200892,348332.3797690904,203.5,2023-09-25
19,3.8470208787376876,72.4787183824005,6.684016622249388,372394.83960918814,131.5,2023-09-25
20,3.24549350274894,71.05381559651151,5.641056559793512,392702.6432244448,120.57,2023-09-25
21,2.607673790798356,69.89533925811315,4.5862992288351165,409213.3204482512,110.09,2023-09-25
22,3.0537199664730963,68.22194791291369,5.445688869865947,428817.80037976865,114.12,2023-09-25
23,2.6734665535868367,66.67000453002412,4.816100165771772,446155.760976547,107.99,2023-09-25
0,0.0,76.81958760351404,0.0,310528.5,160.14,2023-01-23
1,0.0,76.81958760351404,0.0,310528.5,160.89,2023-01-23
2,-5.381834507215784,78.86331046433003,-8.090907228603143,281401.2339770287,152.47,2023-01-23
3,-5.492621445768809,80.698729325505,-7.959672466168726,252746.4130988213,151.13,2023-01-23
4,0.0,80.698729325505,0.0,252746.4130988213,155.41,2023-01-23
5,0.0,80.698729325505,0.0,252746.4130988213,189.9,2023-01-23
6,3.214407046063674,79.58195576614476,5.0174727428159684,270809.31497295876,226.54,2023-01-23
7,3.73768933765604,78.08391547777943,6.027751415083344,292509.2200672588,257.9,2023-01-23
8,4.274342725007465,76.26603110375417,7.196833829364323,318417.8218529704,270.13,2023-01-23
9,3.7634701099448025,74.66356259412535,6.344022615174026,341256.3032675969,249.8,2023-01-23
10,3.39636399288338,73.20871927419363,5.759588327460875,361990.821246456,230.14,2023-01-23
11,2.871262324675739,71.96817432829312,4.911201152873602,379671.145396801,220.88,2023-01-23
12,3.055477119211282,70.62110371775627,5.332926273516264,398869.6799814596,219.1,2023-01-23
13,3.1125916657195085,69.12349259925604,5.521185275433268,418745.94697301934,219.62,2023-01-23
14,3.009151338637892,67.38529599000505,5.3940943144271785,438164.68650495715,218.99,2023-01-23
15,3.070134400208376,65.59017971261733,5.570731443185437,458219.31970042473,224.58,2023-01-23
16,3.5912407235033514,63.437909550726985,6.6790765679646995,482263.9953450976,248.9,2023-01-23
17,3.863173774956351,61.06542445819833,7.3624630726823455,508768.8624067541,248.07,2023-01-23
18,3.2021724562899916,58.63137092695668,6.1147033028561,530781.794297036,223.19,2023-01-23
19,2.4346094291181126,56.095885330075326,4.746592296987387,547869.5265661906,206.15,2023-01-23
20,0.0,56.09588533007533,0.0,547869.5265661906,184.01,2023-01-23
