Time,Power,Head,Flow,Volume,Price,Date
0,2.9161306984365742,75.7921059028179,4.795667074468292,327792.9014680858,48.59,2024-04-09
1,0.0,75.7921059028179,0.0,327792.9014680865,38.15,2024-04-09
2,2.849712041264907,74.6473300343651,4.763041317887939,344939.8502124831,38.54,2024-04-09
3,2.779909839462853,73.40995108266854,4.7084552697778435,361890.28918368334,41.84,2024-04-09
4,2.7103421838697552,72.17197904740169,4.651230122572201,378634.71762494324,41.1,2024-04-09
5,3.5024120556869303,70.52730276055628,6.17927357753814,400880.10250408057,58.65,2024-04-09
6,3.8907475999259726,68.51732546629363,7.090394071155387,426405.52116023994,63.05,2024-04-09
7,2.49112429508693,67.17022864285134,4.487182006287682,442559.3763828756,46.47,2024-04-09
8,0.0,67.17022864285843,0.0,442559.3763828756,32.52,2024-04-09
9,0.0,67.17022864285838,0.0,442559.3763828756,27.12,2024-04-09
10,0.0,67.17022864285842,0.0,442559.3763828756,17.48,2024-04-09
11,-4.395763466867653,69.4594727553338,-7.625476365762367,415107.6614661311,4.08,2024-04-09
12,-4.583557133462915,71.52607312465126,-7.704616465429183,387371.04219058604,4.28,2024-04-09
13,0.0,71.52607312465133,0.0,387371.04219058604,19.69,2024-04-09
14,0.0,71.52607312465128,0.0,387371.04219058604,13.22,2024-04-09
15,0.0,71.52607312465129,0.0,387371.04219058604,22.92,2024-04-09
16,2.605765269772764,70.31099709670184,4.565206694023161,403805.7862890694,41.91,2024-04-09
17,3.359841043927794,68.5977434510897,6.009831675032643,425441.18031918694,57.73,2024-04-09
18,2.990953071830723,66.98071683208127,5.386318653768626,444831.927472754,53.42,2024-04-09
19,2.528897444738187,65.59646165003902,4.610956567420175,461431.3711154666,48.34,2024-04-09
20,2.277538720980432,64.2743577233999,4.210066469666657,476587.6104062665,40.43,2024-04-09
21,0.0,64.27435772340161,0.0,476587.6104062665,25.0,2024-04-09
22,0.0,64.27435772340164,0.0,476587.61040626536,25.84,2024-04-09
23,-4.289525832220765,66.6700045300241,-7.7860397852014955,448557.86717954,6.65,2024-04-09
0,0.0,76.94472322725032,0.0,310528.5,53.14,2024-07-09
1,0.0,76.94472322725187,-6.437517185986508e-12,310528.49999997683,41.26,2024-07-09
2,0.0,76.94472322725187,0.0,310528.49999997683,38.7,2024-07-09
3,-2.5071500431295135e-11,76.94472322725187,0.0,310528.49999997683,49.9,2024-07-09
4,0.0,76.94472322725187,0.0,310528.49999997683,58.21,2024-07-09
5,2.916130698436665,75.79210590281943,4.795667074468483,327792.9014680634,75.38,2024-07-09
6,2.8597686356786265,74.64322858812446,4.780106106247885,345001.28345055575,75.58,2024-07-09
7,0.0,74.64322858812446,0.0,345001.28345055575,59.81,2024-07-09
8,0.0,74.64322858812446,0.0,345001.28345055575,46.63,2024-07-09
9,0.0,74.64322858812446,0.0,345001.28345055575,33.71,2024-07-09
10,-5.0730904991061525,76.54117758899852,-7.896750586318078,316572.9813398107,21.95,2024-07-09
11,-5.437683368721246,78.51823354988834,-8.225889004999829,286959.7809218113,7.32,2024-07-09
12,-5.774364472337162,80.463433236145,-8.418838359010593,256651.9628293732,5.31,2024-07-09
13,-5.649505474188039,82.24786223008142,-7.970604200269442,227957.7877084032,12.12,2024-07-09
14,0.0,82.24786223008142,0.0,227957.7877084032,46.43,2024-07-09
15,3.2299333972839666,81.14742565671524,4.915378759035754,245653.15124093188,77.36,2024-07-09
16,4.32390728586592,79.58177421077659,6.993378853157722,270829.3151122997,102.11,2024-07-09
17,4.899695164875751,77.57074357291282,8.42288361931972,301151.69614185067,110.09,2024-07-09
18,5.6758936165279295,75.02676179924623,10.584683547098663,339256.5569114059,121.81,2024-07-09
19,4.691634907989818,72.8119111304362,8.534065684413832,369979.19337529567,108.05,2024-07-09
20,3.6106901412338943,71.12101086249255,6.352943391673392,392849.7895853199,87.85,2024-07-09
21,3.4243660122639525,69.48588718220893,6.094755684418672,414790.9100492271,82.93,2024-07-09
22,2.8108180372798963,67.97791548680442,5.023056501873313,432873.91345597105,73.97,2024-07-09
