Time,Power,Head,Flow,Volume,Price,Date
0,-5.735174313202567,79.4,-10.21561079136228,273752.3011510958,1.09,2023-09-25
1,-7.069169705709487,81.7122516067002,-10.388551299331269,236353.51647350326,0.0,2023-09-25
2,-7.069169998168945,84.02450118260019,-10.388542175292983,198954.7646424485,0.49,2023-09-25
3,-7.0691699981685225,86.33675075850002,-10.388542175292343,161556.01281139607,43.31,2023-09-25
4,0.0,86.33675075850002,0.0,161556.01281139607,86.87,2023-09-25
5,3.486524653315242,85.10935779362181,5.5144668266756085,181408.09338742826,139.15,2023-09-25
6,3.8298318862919416,83.75160674183861,6.1001434326171875,203368.60974485014,143.0,2023-09-25
7,3.1254568099977464,82.66131579164781,4.898490905761719,221003.17700559233,118.32,2023-09-25
8,0.0,82.66131579164781,0.0,221003.17700559233,99.68,2023-09-25
9,0.0,82.66131579164781,0.0,221003.17700559233,89.01,2023-09-25
10,0.0,82.66131579164781,0.0,221003.17700559233,89.71,2023-09-25
11,-5.357476711273351,84.43324851666195,-7.960990905761719,192343.60974485014,76.11,2023-09-25
12,0.0,84.43324851666195,0.0,192343.60974485014,84.09,2023-09-25
13,0.0,84.43324851666193,0.0,192343.60974485014,92.06,2023-09-25
14,0.0,84.43324851666195,0.0,192343.6097448501,97.46,2023-09-25
15,0.0,84.43324851666195,0.0,192343.6097448501,109.19,2023-09-25
16,6.647332191467285,81.91662425833084,11.306762695312486,233047.95544797508,183.01,2023-09-25
17,6.647332191467285,79.4,11.3067626953125,273752.3011511001,300.0,2023-09-25
18,5.455295562744141,76.69044087991189,10.726890563964844,312369.1071813735,203.5,2023-09-25
19,4.8911770159271155,74.33348723292234,9.330958548996463,345960.55795776076,131.5,2023-09-25
20,4.299501800536746,72.33050116245933,7.9296340942382955,374507.2406970186,120.57,2023-09-25
21,3.7216049194339575,70.6430584417854,6.680427551269531,398556.77988158894,110.09,2023-09-25
22,3.8841642379775756,68.52557929254692,7.463588714594877,425425.6992541305,114.12,2023-09-25
23,3.560396676678093,66.34201373352694,6.776194651630419,449820.0,107.99,2023-09-25
0,0.0,76.81958760351353,0.0,310528.5,160.14,2023-01-23
1,0.0,76.81958760351358,0.0,310528.5,160.89,2023-01-23
2,0.0,76.81958760351371,0.0,310528.5,152.47,2023-01-23
3,-4.959704854705055,79.0827809233004,-8.959770202635994,278273.32727051043,151.13,2023-01-23
4,0.0,79.08278092327468,1.014512918118271e-10,278273.3272708757,155.41,2023-01-23
5,0.0,79.08278092330055,0.0,278273.3272708833,189.9,2023-01-23
6,3.1437080383314733,77.67807765526236,5.561088562008493,298293.24609411386,226.54,2023-01-23
7,3.7216049194359804,75.99063493458712,6.68042755127469,322342.78527870274,257.9,2023-01-23
8,4.099508448031186,74.09684926595087,7.497319939787019,349333.137061936,270.13,2023-01-23
9,3.721604919433591,72.40940654527708,6.680427551268963,373382.6762465043,249.8,2023-01-23
10,3.143708068508243,71.00470327726472,5.561088562010156,393402.59506974084,230.14,2023-01-23
11,3.1437080685048953,69.6,5.561088562012955,413422.5138929875,220.88,2023-01-23
12,2.9638940997998637,67.80039674076716,5.584655798345722,433527.27476703207,219.1,2023-01-23
13,2.963894081116451,66.00079349134927,5.5846557312596445,453632.0353995668,219.62,2023-01-23
14,2.963894081115911,64.20119023211635,5.584655761718466,473736.79614175326,218.99,2023-01-23
15,3.2749846060075507,62.205071887967065,6.194495233619989,496036.97898278525,224.58,2023-01-23
16,3.8841642379757104,59.8,7.463588714598075,522905.8983553383,248.9,2023-01-23
17,3.319490194320677,56.109981968440444,6.90795135498135,547774.5232332712,248.07,2023-01-23
18,3.31949019432121,52.419963936843644,6.907951354984647,572643.1481112159,223.19,2023-01-23
19,2.1169545675300148,50.0,4.530328310970447,588952.3300307095,206.15,2023-01-23
20,-3.2321911496017304,54.63316148070441,-8.673576620612721,557727.4541965037,184.01,2023-01-23
21,-3.528115510940555,59.8,-9.672813415527202,522905.32590060576,177.92,2023-01-23
22,-4.457560791046546,63.012212242370616,-9.96820457552846,487019.7894287033,170.22,2023-01-23
23,-4.620451450347428,66.34201373352694,-10.333274841306476,449820.0,164.85,2023-01-23
0,0.0,76.81958760351405,0.0,310528.5,-0.09,2023-12-24
1,0.0,76.81958760351405,0.0,310528.5,-0.29,2023-12-24
2,0.0,76.81958760351507,0.0,310528.5,-0.97,2023-12-24
3,0.0,76.81958760351507,0.0,310528.5,-3.74,2023-12-24
4,0.0,76.81958760351509,0.0,310528.5,-4.97,2023-12-24
5,0.0,76.81958760351513,0.0,310528.5,-4.22,2023-12-24
6,0.0,76.81958760351507,0.0,310528.5,-3.05,2023-12-24
7,0.0,76.81958760351509,0.0,310528.5,-1.62,2023-12-24
8,0.0,76.81958760351509,0.0,310528.5,-0.67,2023-12-24
9,0.0,76.81958760351509,0.0,310528.5,-0.89,2023-12-24
10,0.0,76.81958760351507,0.0,310528.5,-0.91,2023-12-24
11,0.0,76.81958760351507,0.0,310528.5,-0.55,2023-12-24
12,0.0,76.81958760351509,0.0,310528.5,-1.03,2023-12-24
13,0.0,76.81958760351507,0.0,310528.5,-0.15,2023-12-24
14,0.0,76.81958760351507,0.0,310528.5,0.22,2023-12-24
15,0.0,76.81958760351507,0.0,310528.5,0.39,2023-12-24
16,2.5658111572265625,75.5822532027185,4.89849090575764,328163.0672607275,9.83,2023-12-24
17,2.5658111572265625,74.34491880192192,4.8984909057617045,345797.63452146965,10.09,2023-12-24
18,0.0,74.34491744723934,0.0,345797.63452146965,9.49,2023-12-24
19,0.0,74.34491880192192,0.0,345797.63452146965,2.54,2023-12-24
20,0.0,74.34491880192192,0.0,345797.63452146965,-1.91,2023-12-24
21,0.0,74.34491751552233,0.0,345797.63452146965,-2.57,2023-12-24
22,0.0,74.34491880192192,0.0,345797.63452146965,-4.79,2023-12-24
23,0.0,74.34491880192192,0.0,345797.63452146965,-3.91,2023-12-24
0,0.0,76.81958760351415,0.0,310528.5,94.54,2023-10-24
1,0.0,76.81958760351405,0.0,310528.5,89.46,2023-10-24
2,0.0,76.81958760351398,0.0,310528.5,90.31,2023-10-24
3,0.0,76.81958760351405,0.0,310528.5,94.69,2023-10-24
4,0.0,76.8195876035132,0.0,310528.5,102.0,2023-10-24
5,2.9463138642972675,75.50364439815189,5.209695794294163,329283.404859459,120.59,2023-10-24
6,3.1479836607300618,74.09684925669839,5.569370092873257,349333.13719380274,130.77,2023-10-24
7,3.721604918833116,72.40940653602473,6.680427551268494,373382.67637836933,136.35,2023-10-24
8,3.143708038330077,71.0047032680127,5.5610885620096155,393402.59520160395,128.37,2023-10-24
9,3.1437080383300717,69.6,5.561088562011989,413422.51402484707,125.0,2023-10-24
10,2.9638940809762997,67.80039674076708,5.584655761717258,433527.2747670292,118.99,2023-10-24
11,2.45495743716204,66.30119045066475,4.652442699839057,450276.06848644983,112.54,2023-10-24
12,0.0,66.3011904506651,0.0,450276.0684864494,110.0,2023-10-24
13,0.0,66.3011904506649,0.0,450276.0684864516,109.59,2023-10-24
14,2.963894081115721,64.50158719143192,5.584655761718693,470380.8292286389,118.1,2023-10-24
15,3.4240291595458947,62.4113178960907,6.486671105912109,493732.84520992247,133.16,2023-10-24
16,4.1658536599942675,59.8,8.103625873791913,522905.8983555733,149.98,2023-10-24
17,3.3194901943206787,56.10998196840582,6.907951354980327,547774.5232335025,154.12,2023-10-24
18,3.3194901943206787,52.4199639371438,6.907951354358488,572643.1481091931,133.45,2023-10-24
19,2.116954567830706,50.0,4.530328311532287,588952.3300307093,119.31,2023-10-24
20,-3.232174009261327,54.633130581536236,-8.673518775386498,557727.6624393179,114.1,2023-10-24
21,-3.5281155109405518,59.7999843747213,-9.672813415525582,522905.5341434258,102.78,2023-10-24
22,-4.457586601073308,63.012212242411685,-9.968262420914812,487019.78942813247,99.07,2023-10-24
23,-4.620451450288416,66.3420137335269,-10.333274841147912,449820.0,94.56,2023-10-24
0,0.0,76.81958760351405,0.0,310528.5,127.56,2023-02-22
1,0.0,76.81958760351405,0.0,310528.5,125.3,2023-02-22
2,0.0,76.81958760351405,0.0,310528.5,124.48,2023-02-22
3,0.0,76.81958760351405,0.0,310528.5,125.42,2023-02-22
4,0.0,76.81958760351405,0.0,310528.5,129.24,2023-02-22
5,3.153605307399625,75.41004203831822,5.580258762646068,330617.43154552585,153.37,2023-02-22
6,3.778144411158447,73.69172761510082,6.802645727744064,355106.9561654045,173.13,2023-02-22
7,4.200512832211079,71.74279151735634,7.715655318858012,382883.31531329337,176.34,2023-02-22
8,3.721604919433594,70.05534879668241,6.680427551269531,406932.8544978637,164.55,2023-02-22
9,2.963894081115723,68.38129459803744,5.58465576171875,427037.6152400512,150.91,2023-02-22
10,2.9412397114801196,66.59508527168333,5.543090764522518,446992.7419923322,144.93,2023-02-22
