hour,p_T,p_P,p_total,q,h,v_low,price,solution_time,mode,p_sim,q_sim,h_sim,v_low_sim,mode_sim,date,solution_time_seconds,opt_objective,sim_profit,si_penalty,vol_penalty,op_cost
0,6.430645378151261,0.0,6.430645378151261,11.991455955864254,77.0,310351.0483917608,115.30000305175781,301.4888141155243,Turbine,6.3481526,11.832603,74.01579284667969,310528.5,Turbine,2024-12-12,301.4888141155243,17830.513438407077,12532.1005859375,2147.609375,2182.207763671875,2879.078369140625
1,0.0,-7.155107018874116,-7.155107018874116,-10.327208976915145,79.44896342112244,273173.09607486625,109.95999908447266,301.4888141155243,Pump,-7.0757084,-10.2901535,76.57586669921875,353125.88,Pump,2024-12-12,301.4888141155243,17830.513438407077,12532.1005859375,2147.609375,2182.207763671875,2879.078369140625
2,0.0,-7.458528241436757,-7.458528241436757,-10.363174578393,81.79925929719676,235865.66759265144,107.3499984741211,301.4888141155243,Pump,-7.391951,-10.265251,79.04292297363281,316081.3,Pump,2024-12-12,301.4888141155243,17830.513438407077,12532.1005859375,2147.609375,2182.207763671875,2879.078369140625
3,0.0,-7.758073725704951,-7.758073725704951,-10.398680774764571,84.11953376720973,198430.4168034991,112.51000213623047,301.4888141155243,Pump,-7.7087617,-10.266472,81.42543029785156,279126.4,Pump,2024-12-12,301.4888141155243,17830.513438407077,12532.1005859375,2147.609375,2182.207763671875,2879.078369140625
4,0.0,-8.056475627434637,-8.056475627434637,-10.43405141821244,86.43095006539968,160867.8316979342,122.04000091552734,301.4888141155243,Pump,-8.028892,-10.296745,83.73255157470703,242167.11,Pump,2024-12-12,301.4888141155243,17830.513438407077,12532.1005859375,2147.609375,2182.207763671875,2879.078369140625
5,0.0,-8.357827072945964,-8.357827072945964,-10.469771681622163,88.76521348195445,123176.65364409448,150.1699981689453,301.4888141155243,Pump,-8.35676,-10.36718,85.9912109375,205098.83,Pump,2024-12-12,301.4888141155243,17830.513438407077,12532.1005859375,2147.609375,2182.207763671875,2879.078369140625
6,0.0,0.0,0.0,5.968558980384842e-13,88.7652134819543,123176.6536440968,258.0400085449219,301.4888141155243,Idle,0.0,0.0,85.9912109375,167776.98,Idle,2024-12-12,301.4888141155243,17830.513438407077,12532.1005859375,2147.609375,2182.207763671875,2879.078369140625
7,7.546819572836682,0.0,7.546819572836682,11.531085822750413,86.19584112209674,164688.562605998,389.1499938964844,301.4888141155243,Turbine,7.519305,11.697281,83.43875122070312,167776.98,Turbine,2024-12-12,301.4888141155243,17830.513438407077,12532.1005859375,2147.609375,2182.207763671875,2879.078369140625
8,7.228454830483564,0.0,7.228454830483564,11.846822867940887,83.57292473189865,207337.12493058515,400.0,301.4888141155243,Turbine,7.1784563,11.917671,80.7492904663086,209887.19,Turbine,2024-12-12,301.4888141155243,17830.513438407077,12532.1005859375,2147.609375,2182.207763671875,2879.078369140625
9,6.902636342021405,0.0,6.902636342021405,11.940656627617983,80.88859905154717,250323.48879001,363.3699951171875,301.4888141155243,Turbine,6.8352156,11.996803,77.92832946777344,252790.81,Turbine,2024-12-12,301.4888141155243,17830.513438407077,12532.1005859375,2147.609375,2182.207763671875,2879.078369140625
10,4.190453279371464,0.0,4.190453279371464,6.749066312415003,79.36486999797816,274620.12751470425,328.8299865722656,301.4888141155243,Turbine,4.190453,6.7701225,76.28530883789062,295979.3,Turbine,2024-12-12,301.4888141155243,17830.513438407077,12532.1005859375,2147.609375,2182.207763671875,2879.078369140625
11,3.5957621216052074,0.0,3.5957621216052074,5.80685829290762,77.9812819840008,295524.81736917165,293.07000732421875,301.4888141155243,Turbine,3.595762,5.815777,74.84385681152344,320351.75,Turbine,2024-12-12,301.4888141155243,17830.513438407077,12532.1005859375,2147.609375,2182.207763671875,2879.078369140625
12,3.9543390349275125,0.0,3.9543390349275125,6.6921875270662525,76.38674841994833,319616.6924666101,318.54998779296875,301.4888141155243,Turbine,3.954339,6.6264267,73.16453552246094,341288.56,Turbine,2024-12-12,301.4888141155243,17830.513438407077,12532.1005859375,2147.609375,2182.207763671875,2879.078369140625
13,4.743177413612011,0.0,4.743177413612011,8.539437838707272,74.26824459041934,350358.6686859563,352.8900146484375,301.4888141155243,Turbine,4.7431774,8.51963,70.93519592285156,365143.7,Turbine,2024-12-12,301.4888141155243,17830.513438407077,12532.1005859375,2147.609375,2182.207763671875,2879.078369140625
14,5.749064206631501,0.0,5.749064206631501,11.229026696418451,71.38464695300111,390783.16479306284,475.9100036621094,301.4888141155243,Turbine,5.666473,11.070396,67.86921691894531,395814.34,Turbine,2024-12-12,301.4888141155243,17830.513438407077,12532.1005859375,2147.609375,2182.207763671875,2879.078369140625
15,5.387412009929354,0.0,5.387412009929354,10.5707837874535,68.40509756172754,428837.9864278954,551.0,301.4888141155243,Turbine,5.3154016,10.4774475,64.68437194824219,435667.78,Turbine,2024-12-12,301.4888141155243,17830.513438407077,12532.1005859375,2147.609375,2182.207763671875,2879.078369140625
16,5.027477976366226,0.0,5.027477976366226,9.887138813933596,65.43970362694411,464431.6861580564,565.4600219726562,301.4888141155243,Turbine,4.9734807,9.812538,61.29507064819336,473386.6,Turbine,2024-12-12,301.4888141155243,17830.513438407077,12532.1005859375,2147.609375,2182.207763671875,2879.078369140625
17,4.660609194000784,0.0,4.660609194000784,9.190322243067435,62.41717627292254,497516.8462330992,433.07000732421875,301.4888141155243,Turbine,4.632796,9.106186,57.61145782470703,508711.72,Turbine,2024-12-12,301.4888141155243,17830.513438407077,12532.1005859375,2147.609375,2182.207763671875,2879.078369140625
18,4.27114225276559,0.0,4.27114225276559,8.450583591259871,59.2084691276035,527938.9471616347,375.0299987792969,301.4888141155243,Turbine,4.2711425,8.3591,53.57574462890625,541494.0,Turbine,2024-12-12,301.4888141155243,17830.513438407077,12532.1005859375,2147.609375,2182.207763671875,2879.078369140625
19,3.6996163487977336,0.0,3.6996163487977336,7.255817118576793,56.16450094752011,554059.8887885112,241.61000061035156,301.4888141155243,Turbine,0.0,0.0,56.16450119018555,571586.75,Idle,2024-12-12,301.4888141155243,17830.513438407077,12532.1005859375,2147.609375,2182.207763671875,2879.078369140625
20,0.0,0.0,0.0,0.0,56.16450094752011,554059.8887885112,169.39999389648438,301.4888141155243,Idle,0.0,0.0,53.57574462890625,571586.75,Idle,2024-12-12,301.4888141155243,17830.513438407077,12532.1005859375,2147.609375,2182.207763671875,2879.078369140625
21,0.0,-4.665691071724268,-4.665691071724268,-9.673534003059238,60.165987810502514,519235.16637749795,150.0,301.4888141155243,Pump,-4.6630106,-9.714668,58.20114517211914,571586.75,Pump,2024-12-12,301.4888141155243,17830.513438407077,12532.1005859375,2147.609375,2182.207763671875,2879.078369140625
22,0.0,-4.941066190910292,-4.941066190910292,-9.860901787046487,63.676146354303015,483735.91994413047,134.75,301.4888141155243,Pump,-4.9410663,-9.7423935,62.02433395385742,536613.94,Pump,2024-12-12,301.4888141155243,17830.513438407077,12532.1005859375,2147.609375,2182.207763671875,2879.078369140625
23,0.0,-4.954552443276602,-4.954552443276602,-9.421088873369527,66.76228482261236,449820.00000000023,130.07000732421875,301.4888141155243,Pump,-4.9545527,-9.2416,,501541.3,Pump,2024-12-12,301.4888141155243,17830.513438407077,12532.1005859375,2147.609375,2182.207763671875,2879.078369140625
