hour,p_T,p_P,p_total,q,h,v_low,price,solution_time,mode,p_sim,q_sim,h_sim,v_low_sim,mode_sim,date,solution_time_seconds,opt_objective,sim_profit,si_penalty,vol_penalty,op_cost
0,6.430645378151261,0.0,6.430645378151261,11.991455955864254,77.0,310351.0483917608,90.4000015258789,301.4569556713104,Turbine,6.3481526,11.832603,74.01579284667969,310528.5,Turbine,2024-11-21,301.4569556713104,3529.2912987508903,2644.638671875,14.914703369140625,866.2862548828125,758.9381713867188
1,0.0,-5.3717023207996135,-5.3717023207996135,-8.145949113659173,78.940918305152,281025.6315825877,86.80000305175781,301.4569556713104,Pump,-5.371702,-8.045158,76.0250015258789,353125.88,Pump,2024-11-21,301.4569556713104,3529.2912987508903,2644.638671875,14.914703369140625,866.2862548828125,758.9381713867188
2,0.0,0.0,0.0,0.0,78.94091830515202,281025.6315825877,84.1500015258789,301.4569556713104,Idle,0.0,0.0,76.0250015258789,324163.3,Idle,2024-11-21,301.4569556713104,3529.2912987508903,2644.638671875,14.914703369140625,866.2862548828125,758.9381713867188
3,0.0,0.0,0.0,0.0,78.94091830515201,281025.6315825877,84.2300033569336,301.4569556713104,Idle,0.0,0.0,76.0250015258789,324163.3,Idle,2024-11-21,301.4569556713104,3529.2912987508903,2644.638671875,14.914703369140625,866.2862548828125,758.9381713867188
4,0.0,0.0,0.0,0.0,78.94091830515204,281025.6315825877,93.51000213623047,301.4569556713104,Idle,0.0,0.0,76.0250015258789,324163.3,Idle,2024-11-21,301.4569556713104,3529.2912987508903,2644.638671875,14.914703369140625,866.2862548828125,758.9381713867188
5,0.0,0.0,0.0,0.0,78.940918305152,281025.6315825877,109.4000015258789,301.4569556713104,Idle,0.0,0.0,76.0250015258789,324163.3,Idle,2024-11-21,301.4569556713104,3529.2912987508903,2644.638671875,14.914703369140625,866.2862548828125,758.9381713867188
6,0.0,0.0,0.0,0.0,78.94091830515202,281025.6315825877,123.36000061035156,301.4569556713104,Idle,0.0,0.0,76.0250015258789,324163.3,Idle,2024-11-21,301.4569556713104,3529.2912987508903,2644.638671875,14.914703369140625,866.2862548828125,758.9381713867188
7,3.0664143559716743,0.0,3.0664143559716743,4.942890514713234,77.76318609169115,298820.0374355555,133.85000610351562,301.4569556713104,Turbine,3.0664144,4.9237747,74.80209350585938,324163.3,Turbine,2024-11-21,301.4569556713104,3529.2912987508903,2644.638671875,14.914703369140625,866.2862548828125,758.9381713867188
8,2.9992865766757717,0.0,2.9992865766757717,4.947653692267117,76.58431896584919,316631.59072771715,135.0399932861328,301.4569556713104,Turbine,2.9992867,4.894161,73.56511688232422,341888.9,Turbine,2024-11-21,301.4569556713104,3529.2912987508903,2644.638671875,14.914703369140625,866.2862548828125,758.9381713867188
9,2.930900582459091,0.0,2.930900582459091,4.952506148821824,75.38335564938531,334460.6128634757,127.44000244140625,301.4569556713104,Turbine,2.9309006,4.857544,72.3135757446289,359507.88,Turbine,2024-11-21,301.4569556713104,3529.2912987508903,2644.638671875,14.914703369140625,866.2862548828125,758.9381713867188
10,0.0,0.0,0.0,0.0,75.3833556493853,334460.6128634757,115.55000305175781,301.4569556713104,Idle,0.0,0.0,72.3135757446289,376995.03,Idle,2024-11-21,301.4569556713104,3529.2912987508903,2644.638671875,14.914703369140625,866.2862548828125,758.9381713867188
11,0.0,0.0,0.0,0.0,75.38335564938532,334460.6128634757,113.69999694824219,301.4569556713104,Idle,0.0,0.0,72.3135757446289,376995.03,Idle,2024-11-21,301.4569556713104,3529.2912987508903,2644.638671875,14.914703369140625,866.2862548828125,758.9381713867188
12,0.0,0.0,0.0,0.0,75.38335564938534,334460.6128634757,121.29000091552734,301.4569556713104,Idle,0.0,0.0,72.3135757446289,376995.03,Idle,2024-11-21,301.4569556713104,3529.2912987508903,2644.638671875,14.914703369140625,866.2862548828125,758.9381713867188
13,2.8607172609561684,0.0,2.8607172609561684,4.881124539135605,74.1508284993736,352032.6612043639,134.39999389648438,301.4569556713104,Turbine,2.8607173,4.8132133,71.04581451416016,376995.03,Turbine,2024-11-21,301.4569556713104,3529.2912987508903,2644.638671875,14.914703369140625,866.2862548828125,758.9381713867188
14,3.046406107544786,0.0,3.046406107544786,5.228318267639681,72.83063185982846,370854.60696786677,144.7899932861328,301.4569556713104,Turbine,3.046406,5.2137527,69.63440704345703,394322.6,Turbine,2024-11-21,301.4569556713104,3529.2912987508903,2644.638671875,14.914703369140625,866.2862548828125,758.9381713867188
15,3.8196881968018705,0.0,3.8196881968018705,6.757957498129979,71.04013652202124,395183.2539611347,161.22999572753906,301.4569556713104,Turbine,3.819688,6.7903214,67.71905517578125,413092.1,Turbine,2024-11-21,301.4569556713104,3529.2912987508903,2644.638671875,14.914703369140625,866.2862548828125,758.9381713867188
16,3.943731683696842,0.0,3.943731683696842,7.131344734591231,69.03004963630394,420856.0950056631,169.89999389648438,301.4569556713104,Turbine,3.9437318,7.1801567,65.56436920166016,437537.25,Turbine,2024-11-21,301.4569556713104,3529.2912987508903,2644.638671875,14.914703369140625,866.2862548828125,758.9381713867188
17,3.612664259115724,0.0,3.612664259115724,6.530191206798172,67.18940776656771,444364.7833501366,155.89999389648438,301.4569556713104,Turbine,3.6126642,6.585968,63.42623519897461,463385.8,Turbine,2024-11-21,301.4569556713104,3529.2912987508903,2644.638671875,14.914703369140625,866.2862548828125,758.9381713867188
18,3.5038093866955604,0.0,3.5038093866955604,6.410429835907095,65.16466322695314,467442.33075940213,148.92999267578125,301.4569556713104,Turbine,3.5038095,6.4532166,61.1274528503418,487095.3,Turbine,2024-11-21,301.4569556713104,3529.2912987508903,2644.638671875,14.914703369140625,866.2862548828125,758.9381713867188
19,2.4687270240391674,0.0,2.4687270240391674,4.525996995758014,63.67614635430298,483735.91994413105,129.0800018310547,301.4569556713104,Turbine,2.468727,4.567856,59.34364318847656,510326.9,Turbine,2024-11-21,301.4569556713104,3529.2912987508903,2644.638671875,14.914703369140625,866.2862548828125,758.9381713867188
20,0.0,0.0,0.0,0.0,63.676146354302965,483735.91994413105,121.55999755859375,301.4569556713104,Idle,0.0,0.0,59.34364318847656,526771.2,Idle,2024-11-21,301.4569556713104,3529.2912987508903,2644.638671875,14.914703369140625,866.2862548828125,758.9381713867188
21,0.0,0.0,0.0,0.0,63.67614635430298,483735.91994413116,120.0,301.4569556713104,Idle,0.0,0.0,59.34364318847656,526771.2,Idle,2024-11-21,301.4569556713104,3529.2912987508903,2644.638671875,14.914703369140625,866.2862548828125,758.9381713867188
22,0.0,-4.954552443276601,-4.954552443276601,-9.421088873369445,66.76228482261227,449820.0,106.36000061035156,301.4569556713104,Pump,-4.9545527,-9.2416,62.815006256103516,526771.2,Pump,2024-11-21,301.4569556713104,3529.2912987508903,2644.638671875,14.914703369140625,866.2862548828125,758.9381713867188
23,0.0,0.0,0.0,0.0,66.76228482261229,449820.0,113.30000305175781,301.4569556713104,Idle,0.0,0.0,,493501.44,Idle,2024-11-21,301.4569556713104,3529.2912987508903,2644.638671875,14.914703369140625,866.2862548828125,758.9381713867188
